votes_dist,counts
0.0,115155
50.0,16255
100.0,8415
150.0,5450
200.0,3804
250.0,2836
300.0,2285
350.0,1874
400.0,1458
450.0,1210
500.0,1036
550.0,865
600.0,710
650.0,564
700.0,533
750.0,457
800.0,426
850.0,347
900.0,300
950.0,259
1000.0,234
1050.0,207
1100.0,216
1150.0,178
1200.0,153
1250.0,124
1300.0,130
1350.0,113
1400.0,111
1450.0,107
1500.0,97
1550.0,107
1600.0,64
1650.0,72
1700.0,80
1750.0,66
1800.0,79
1850.0,52
1900.0,58
1950.0,49
2000.0,53
2050.0,52
2100.0,48
2150.0,55
2200.0,48
2250.0,45
2300.0,21
2350.0,25
2400.0,35
2450.0,34
2500.0,26
2550.0,22
2600.0,28
2650.0,26
2700.0,25
2750.0,23
2800.0,27
2850.0,22
2900.0,18
2950.0,17
3000.0,18
3050.0,14
3100.0,12
3150.0,12
3200.0,11
3250.0,6
3300.0,14
3350.0,13
3400.0,15
3450.0,9
3500.0,9
3550.0,16
3600.0,4
3650.0,9
3700.0,5
3750.0,8
3800.0,5
3850.0,10
3900.0,8
3950.0,3
4000.0,3
4050.0,5
4100.0,7
4150.0,9
4200.0,6
4250.0,4
4300.0,7
4350.0,12
4400.0,6
4450.0,5
4500.0,4
4550.0,3
4600.0,5
4650.0,10
4700.0,2
4750.0,7
4800.0,3
4850.0,2
4900.0,3
4950.0,2
5000.0,1
5050.0,1
5150.0,4
5200.0,1
5250.0,2
5300.0,5
5350.0,1
5500.0,2
5550.0,5
5600.0,1
5650.0,2
5700.0,3
5750.0,1
5850.0,1
5900.0,1
5950.0,2
6000.0,2
6050.0,2
6100.0,2
6150.0,4
6200.0,3
6250.0,2
6300.0,2
6400.0,3
6450.0,3
6500.0,1
6600.0,1
6650.0,2
6750.0,2
6800.0,1
6850.0,4
6900.0,1
6950.0,2
7100.0,2
7150.0,1
7200.0,1
7250.0,2
7300.0,1
7350.0,2
7750.0,1
7800.0,1
7850.0,2
7900.0,3
7950.0,1
8100.0,2
8300.0,1
8650.0,1
8700.0,1
8750.0,2
8850.0,1
8900.0,1
9000.0,1
9250.0,1
9750.0,1
9950.0,1
10000.0,1
10100.0,1
10550.0,1
10700.0,1
10750.0,1
10850.0,1
11050.0,1
11200.0,1
11600.0,1
11850.0,1
13950.0,1
14050.0,1
14300.0,1
14700.0,1
38800.0,1
